,DocNum,DocContent
12,13,"['He has also been a spokesperson for National Egg Coordination Committee (2003–05), AIDS Awareness Campaign (2005) and Luminous India (2010–present).', 'The Modi government finished the process of bringing electricity to every village in Gujarat that its predecessor had almost completed.', 'His other successes that year include Parvarish and Khoon Pasina.', ""Tendulkar has incorporated several modern and unorthodox strokes into his repertoire, including the paddle sweep, the scoop over short fine leg and the slash to third man over the slips' heads, over the last seven or eight years."", 'Sachin scored 62 runs in the first innings of the first Test at the MCG in Melbourne, but could not prevent a heavy 337-run win for Australia.', 'In early 1967, Jagger, Richards and Jones began to be hounded by authorities over their recreational drug use, after News of the World ran a three-part feature entitled ""Pop Stars and Drugs: Facts That Will Shock You"".', 'In 1972 he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful.', 'Nonetheless, from 2001 to 2010 Gujarat recorded an agricultural growth rate of 10.97 percent – the highest of any state.', 'He retired from Twenty20 cricket and limited-overs cricket, after playing the 2013 Champions League Twenty20 in September–October 2013 in India for Mumbai Indians.', ""Bachchan's portrayal of the wronged hero fighting a crooked system and circumstances of deprivation in films like Zanjeer, Deeewar, Trishul, Kaala Patthar and Shakti resonated with the masses of the time, especially the youth who harboured a simmering discontent owing to social ills such as poverty, hunger, unemployment, corruption, social inequality and the brutal excesses of The Emergency.""]"
13,14,"['Tendulkar further enhanced his reputation as a future great during the 1991–92 tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia.', 'The Modi government launched New Health Policy (NHP) in January 2015.', 'Notably, despite the lack of hits, it was during this era that Bachchan won his first National Film Award for Best Actor for his performance as a Mafia don in the 1990 cult film Agneepath.', 'Although his surname was Shrivastava, Amitabh\'s father had adopted the pen name Bachchan (""child-like"" in colloquial Hindi), under which he published all of his works.', 'It was also his fourth hundred in successive Tests, and he was the fourth Indian to achieve this feat.', ""On 31 July, the appeals court overturned Richards' conviction, and reduced Jagger's sentence to a conditional discharge."", 'Ramesh named Tendulkar after his favourite music director, Sachin Dev Burman.', 'In early 2009, India revisited Sri Lanka for five ODIs, as the Pakistan series had been cancelled due to the security situation in Pakistan and the attacks in Mumbai.', 'His performance won him his second Filmfare Best Actor Award.', 'His administration has been considered complicit in the 2002 Gujarat riots or otherwise criticised for its handling of it.']"
14,15,"['Tendulkar made 160 in the first Test, his 42nd Test century, and India won.', 'He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.', 'Sticky Fingers (1971) was the first of eight consecutive No.', 'According to Raja Sen of Rediff.com, ""Amitabh Bachchan, a retired lawyer suffering from bipolar disorder, takes up cudgels on behalf of the girls, delivering courtroom blows with pugilistic grace.', 'Dostana proved to be the top-grossing film of 1980.', 'The longest was of M. S. Golwalkar, under whose leadership the RSS expanded and whom Modi refers to as Pujniya Shri Guruji (""Guru worthy of worship"").', 'Although his surname was Shrivastava, Amitabh\'s father had adopted the pen name Bachchan (""child-like"" in colloquial Hindi), under which he published all of his works.', 'He also take a wicket of Shane Warne.', 'He made 49 and 64 in the second Test and 62 and 9 in the third, in which play was halted on the last day due to rain with India needing only two wickets to win.', 'In 2019, a law was passed to provide 10% reservation to Economically weaker sections.']"
15,16,"['""Brown Sugar"" and ""Wild Horses"" were recorded at Alabama\'s Muscle Shoals Sound Studio during the 1969 American tour.', 'He narrated part of the film Bawarchi.', 'In the 2012 Gujarat Legislative Assembly elections, Modi won the constituency of Maninagar by 86,373 votes over Shweta Bhatt, the INC candidate and wife of Sanjiv Bhatt.', 'In 2010, Time magazine included Sachin in its annual Time 100 list as one of the ""Most Influential People in the World"".', ""The band got three times a new act's typical royalty rate, full artistic control of recordings and ownership of the recording master tapes."", 'Guitarists as stylistically disparate as Peter Frampton and Jeff Beck were auditioned as well as Robert A. Johnson and Shuggie Otis.', 'By 1963 they were finding their musical stride as well as popularity.', 'France\'s highest civilian honour, the Knight of the Legion of Honour, was conferred upon him by the French Government in 2007 for his ""exceptional career in the world of cinema and beyond"".', 'Other organisations affected included the Sierra Club and Avaaz.', 'Bachchan has won numerous accolades in his career, including four National Film Awards as Best Actor, Dadasaheb Phalke Award as lifetime achievement award and many awards at international film festivals and award ceremonies.']"
16,17,"['In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class.', 'Their top single is ""(I Can\'t Get No) Satisfaction"", regarded by many at the time as ""the classic example of rock and roll"".', 'He\'d never forgive me for that and I don\'t blame him, but hell, shit happens.""', 'Coolie injury', '5 in the US.', ""Three days later, the Royal Canadian Mounted Police, armed with an arrest warrant for Anita Pallenberg, discovered 22 grams (0.78\xa0oz) of heroin in Richards' room."", 'A 15-year press ban against Bachchan was imposed during his peak acting years by Stardust and some of the other film magazines.', 'Bachchan towers in every sense, but without a hint of showboating.', 'Riots began during the bandh, and anti-Muslim violence spread through Gujarat.', 'In an interview with Tim Sheridan, Tendulkar admitted that he sometimes went for quiet drives in the streets of Mumbai late at night when he would be able to enjoy some peace and silence.']"
17,18,"['The Stones followed the Famous Flames, featuring James Brown, in the theatrical release of the 1964 film T.A.M.I.', 'Forbes Magazine ranked him the 15th-Most-Powerful Person in the World in 2014 and the 9th-Most-Powerful Person in the World in 2015, 2016 and 2018.', 'The Sardar Sarovar project only irrigated 4–6% of the area intended.', 'Because of the pandemonium surrounding the Stones, Sullivan banned them from his show.', ""ABCL's operations were mainstream commercial film production and distribution, audio cassettes and video discs, production and marketing of television software, and celebrity and event management."", 'This resulted in Jagger having to project himself ""over the footlights"" and the band needing to use more gimmicks, such as pyrotechnics, lights and video screens.', 'However, he returned to the World Cup scoring a century (140 not out off 101 balls) in his very next match against Kenya in Bristol.', 'Bachchan was named in the Panama Papers and Paradise Papers, leaked confidential documents relating to offshore investment.', 'He wanted to make the Stones ""a raunchy, gamy, unpredictable bunch of undesirables"" and to ""establish that the Stones were threatening, uncouth and animalistic"".', ""Also, in the released film the footage of the fight scene is frozen at the critical moment, and a caption appears onscreen marking this as the instant of the actor's injury and the ensuing publicity of the accident.""]"
18,19,"[""Paa, which released at the end of 2009 was a highly anticipated project as it saw him playing his own son Abhishek's Progeria-affected 13-year-old son, and it opened to favourable reviews, particularly towards Bachchan's performance and was one of the top-grossing films of 2009."", 'Meena Iyer of The Times of India wrote, ""The performances are pitch-perfect with Bachchan leading the way.', 'On 8 September 1994, the Stones performed their new song ""Love Is Strong"" and ""Start Me Up"" at the 1994 MTV Video Music Awards at Radio City Music Hall in New York.', 'He scored 137 off 136 balls, with 21 fours and 3 sixes, to take his team to 344 for 4 at stumps on day one.', 'The then-President of Afghanistan awarded him the Order of Afghanistan in 1991 following the shooting of Khuda Gawah there.', 'At the end of the decade the band appeared on the BBC\'s review of the sixties music scene Pop Go the Sixties, performing ""Gimme Shelter"", which was broadcast live on 31 December 1969.', ""Modi's administration passed a land-reform bill that allowed it to acquire private agricultural land without conducting a social impact assessment, and without the consent of the farmers who owned it."", '""19th Nervous Breakdown"" was released in February 1966, and reached No.', 'In the first budget of the government, the money allotted to this ministry was reduced by more than 50%.', 'Guitarists as stylistically disparate as Peter Frampton and Jeff Beck were auditioned as well as Robert A. Johnson and Shuggie Otis.']"
19,20,"['So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"".', ""He became the first Prime Minister born after India's independence from the British Empire."", ""By the time of Beggars Banquet's release, Brian Jones was only sporadically contributing to the band."", 'His performance in Aks won him his first Filmfare Critics Award for Best Actor.', 'Loewenstein proposed to the band that they wind down their recording and touring activity and sell off their assets.', 'Sticky Fingers (1971) was the first of eight consecutive No.', 'Modi framed the criticism of his government for human rights violations as an attack upon Gujarati pride, a strategy which led to the BJP winning two-thirds of the seats in the state assembly.', 'The album met with strong reviews and sales, going double platinum in the US.', ""The Bombay high court, in April 1999, restrained Bachchan from selling off his Bombay bungalow 'Prateeksha' and two flats till the pending loan recovery cases of Canara Bank were disposed of."", ""Despite Tendulkar's century, India failed to win the match against Bangladesh, losing by 5 wickets.""]"
20,21,"[""In June 2000, he became the first living Asian to have been modelled in wax at London's Madame Tussauds Wax Museum."", ""Since then Tendulkar's batting has tended to be less attacking."", 'In November of that year Modi was elected BJP national secretary and transferred to New Delhi, where he assumed responsibility for party activities in Haryana and Himachal Pradesh.', 'It came against Bangladesh in the league matches of Asia Cup 2012.', 'In 1999, Bachchan was voted the ""greatest star of stage or screen"" in a BBC Your Millennium online poll.', 'Dirty Work was released in March 1986 to mixed reviews, reaching No.', 'I was not thinking about the milestone, the media started all this, wherever I went, the restaurant, room service, everyone was talking about the 100th hundred.', 'Spending on health and family welfare declined by 15%, and on primary and secondary education by 16%.', 'Tendulkar owns these restaurants in partnership with Sanjay Narang of Mars Restaurants.', 'Independent sources put the death toll at over 2000.']"
21,22,"['In the show he trekked the jungles and talked about nature and wildlife conservation with Grylls.', 'In 1999, Bachchan was voted the ""greatest star of stage or screen"" in a BBC Your Millennium online poll.', 'He moved in with his aunt and uncle, who lived near Shivaji Park, during this period, due to his hectic schedule.', 'Modi also launched the Digital India programme, with the goal of ensuring that government services are available electronically, building infrastructure to provide high-speed Internet access to rural areas, boosting manufacturing of electronic goods in the country, and promoting digital literacy.', 'After playing a Twenty20 International in 2006 against South Africa, he said that he would not play the format again.', 'For his performances in 2011, he was named in the World Test XI by the ICC.', 'On the second day of the Nottingham Test on 28 July 2007, Tendulkar became the third cricketer to complete 11,000 Test runs.', 'A substantial portion of the military budget was devoted to personnel costs, leading commentators to write that the budget was constraining Indian military modernisation.', 'The US version of the LP Out of Our Heads, released in July 1965, also went to No\xa01; it included seven original songs, three Jagger/Richards numbers and four credited to Nanker Phelge.', 'In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter.']"
22,23,"['The nomination of Modi for the prime ministership drew attention to his reputation as ""one of contemporary India\'s most controversial and divisive politicians.""', 'The film was based on the hijacking incident of the Indian Airlines Flight 814.', 'The next match against Australia was abandoned due to rain and he was out with a stomach infection in the third match against the West Indies, as India were eliminated.', 'He made 15 runs, being bowled by Waqar Younis, who also made his debut in that match, but was noted for how he handled numerous blows to his body at the hands of the Pakistani pace attack.', 'Little Walter influenced Brian Jones.', 'Sachin Tendulkar spent nine hours on the 12-hour Coca-Cola-NDTV Support My School telethon on 18 September 2011 that helped raise ₹70 million (US$1.0\xa0million) to ₹20 million (US$290,000) more than the target – for the creation of basic facilities, particularly toilets for girl students, in 140 government schools across the country.', 'On 30 July 2019, Parliament of India declared the practice of Triple Talaq as illegal, unconstitutional and made it punishable act from 1 August 2019 which is deemed to be in effect from 19 September 2018.', 'He also jointly owns the badminton team Bengaluru Blasters which participates in the Premier Badminton League.', '(""This film will flop"").', ""In 2012 Maya Kodnani, a minister in Modi's government from 2007 to 2009, was convicted by a lower court for participation in the Naroda Patiya massacre during the 2002 riots.""]"
23,24,"[""The following is the listing of books focused on Tendulkar's career:"", 'However, this book was not circulated that time because of the election code of conduct.', 'He was the leading run scorer and was adjudged the Man of the Series.', 'The move had the effect of greatly centralising the power previously with the planning commission in the person of the prime minister.', ""Before the Indian cricket team's tour of Sri Lanka in July 2008, Tendulkar needed 177 runs to go past Brian Lara's record of Test 11,953 runs."", 'Various national and international figures from cricket, politics, Bollywood and other fields spoke about him in a day-long Salaam Sachin Conclave organised by India Today.', 'The Modi government finished the process of bringing electricity to every village in Gujarat that its predecessor had almost completed.', 'A second season followed in 2005 but its run was cut short by Star Plus when Bachchan fell ill in 2006.', ""His histrionics come primarily in the form of his well-modulated baritone, conveying his emotions and of course, from the well-written lines.'"", 'Albert and David Maysles documented part of the tour and the Altamont concert in their film Gimme Shelter.']"
24,25,"['24 in the US.', 'An article in the medical journal Lancet stated that the country ""might have taken a few steps back in public health"" under Modi.', 'Bachchan was initially named Inquilaab, inspired by the phrase Inquilab Zindabad (which translates into English as ""Long live the revolution"") popularly used during the Indian independence struggle.', ""The BJP's campaign was assisted by its wide influence in the media."", 'He is the highest run scorer of all time in International cricket.', 'Later, Bachchan played the role of Vikram, once again along with Rajesh Khanna, in the film Namak Haraam, a social drama directed by Hrishikesh Mukherjee and scripted by Biresh Chatterjee addressing themes of friendship.', 'The inaugural Asian Test Championship took place in February and March 1999, involving India, Pakistan, and Sri Lanka.', 'He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other.', 'India won the series 1–0.', 'A Supreme Court-appointed Special Investigation Team found no evidence to initiate prosecution proceedings against Modi personally.']"
25,26,"[""At one point, to ward off a possible suitor, he casually mentions that his daughter isn't a virgin; that she's financially independent and sexually independent too."", 'At the end of his third year in office, a further Pew Research poll showed Modi with an overall approval rating of 88%, his highest yet, with 69% of people polled rating him ""very favorably.""', 'The stated goals of the campaign included eliminating open defecation and manual scavenging within five years.', ""He returned to the squad in July for India's tour of England."", '""Have You Seen Your Mother, Baby, Standing in the Shadow?""', 'In early 1967, Jagger, Richards and Jones began to be hounded by authorities over their recreational drug use, after News of the World ran a three-part feature entitled ""Pop Stars and Drugs: Facts That Will Shock You"".', 'All of them were successful at the box office.', 'After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success.', 'This film released in May 2018 and reunited him with Kapoor onscreen after a gap of twenty-seven years.', 'The National Health Mission, which included public health programmes targeted at these indices received nearly 20% less funds in 2015 than in the previous year.']"
26,27,"['The Modi government issued a notification allowing Hindu, Sikh, and Buddhist illegal immigrants from Pakistan and Bangladesh to legalise their residency in India.', 'Bachchan was made a UNICEF goodwill ambassador for the polio Eradication Campaign in India in 2002.', ""Writing for NDTV, Troy Ribeiro of Indo-Asian News Service (IANS) stated, 'Amitabh Bachchan as Deepak Sehgall, the aged defence lawyer, shines as always, in a restrained, but powerful performance."", '19 in the US.', 'A 15-year press ban against Bachchan was imposed during his peak acting years by Stardust and some of the other film magazines.', ""Bachchan's performance in the film received acclaim."", 'He is often praised for his ability to adapt to the needs of his body and yet keep scoring consistently.', 'He returned to Gujarat a short while later, and was assigned by the RSS to the BJP in 1985.', 'In the early summer of 1968, Modi reached the Belur Math but was turned away, after which Modi wandered through Calcutta, West Bengal and Assam, stopping in Siliguri and Guwahati.', '5 in the US.']"
27,28,"[""The government's decision to move the bodies of the train victims from Godhra to Ahmedabad further inflamed the violence."", 'Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the county and scored 1070 runs at an average of 46.52.', 'Several books have been written about Bachchan.', 'Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures.', 'By the time the Stones toured America in 1969, they began to fill large halls and arenas, such as The Forum in Inglewood, California.', 'Modi then went to the Ramakrishna Ashram in Almora, where he was again rejected, before travelling back to Gujarat via Delhi and Rajasthan in 1968–69.', 'Between 2015 and 2018, Human Rights Watch estimated that 44 people, most of them Muslim, were killed by vigilantes; the killings were described by commentators as related to attempts by BJP state governments to ban the slaughter of cows.', 'He conducted approximately fifty hours of interviews for the film, including extensive interviews with Wyman and Taylor.', 'The first was Deewaar, directed by Yash Chopra, where he worked with Shashi Kapoor, Nirupa Roy, Parveen Babi, and Neetu Singh, and earned another Filmfare nomination for Best Actor.', 'Other releases during that year included Nastik, Andha Kanoon (in which he had an extended guest appearance) which were hits and Pukar was an average grosser During a stint in politics from 1984 to 1987, his completed films Mard (1985) and Aakhree Raasta (1986) were released and were major hits.']"
28,29,"['In 1988, with the Rolling Stones mostly inactive, Richards released his first solo album, Talk Is Cheap which reached No.', 'His mother had a keen interest in theatre and was offered a feature film role, but she preferred her domestic duties.', 'In September 2014, Modi introduced the Make in India initiative to encourage foreign companies to manufacture products in India, with the goal of turning the country into a global manufacturing hub.', 'Despite good reviews and the Top Ten peak position of the title track, the record sold below expectations and there was no tour to support it.', 'He also has done voice-over work for the following movies:', 'To comply with the law that an MP cannot represent more than one constituency, he vacated the Vadodara seat.', 'He was also the first player to score 10,000 runs in one-day internationals, and also the first player to cross every subsequent 1000-run mark that has been crossed in ODI cricket history.', 'The first was Deewaar, directed by Yash Chopra, where he worked with Shashi Kapoor, Nirupa Roy, Parveen Babi, and Neetu Singh, and earned another Filmfare nomination for Best Actor.', 'In 2014, he played the role of the friendly ghost in the sequel Bhoothnath Returns.', 'In July 2011, the court-appointed amicus curiae Raju Ramachandran submitted his final report to the court.']"
